编号,食品分类,最大使用量,备注
06.2.1,面粉,75 mg/kg,注释468
01.8.2,乳清粉和乳清制品，不包括乳清干酪,100 mg/kg,注释147
01.8.1,液体乳清和乳清制品，不包括乳清干酪,100 mg/kg,注释74
