编号,食品分类,最大使用量,备注
04.1.2.11,糕饼的水果馅料,1,500 mg/kg,注释33
04.1.2.7,糖渍水果,10 mg/kg,注释33
11.1.2,糖粉，葡萄糖粉,6,600 mg/kg,注释465,注释33,注释56
09.2.5,经烟熏，干制，发酵，和/或盐腌的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,2,200 mg/kg,注释XS189,注释XS236,注释334,注释413,注释33,注释XS167,注释420,注释XS311,注释XS244
04.2.2.4,罐装或瓶装（经巴氏杀菌的）或杀菌袋装蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）和海藻,2,200 mg/kg,注释33
02.4,脂基甜点，不包括01.7类乳基甜点制品,1,500 mg/kg,注释33
02.2.2,脂肪涂抹物，乳脂涂抹物和混合涂抹物,2,200 mg/kg,注释530,注释33
10.3,腌制蛋，包括用碱，盐腌及罐装蛋类,1,000 mg/kg,注释33
07.1.1.2,苏打面包,9,300 mg/kg,注释229,注释33
14.2.2,苹果酒和梨酒,880 mg/kg,注释33
04.2.2.5,蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果、籽类的泥及涂抹酱（如花生酱）,2,200 mg/kg,注释76,注释33
04.2.2.6,蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果、籽类的浆及其制品（如蔬菜甜品和沙司，和糖渍蔬菜），不包括04.2.2.5类,2,200 mg/kg,注释33
07.1.2,薄脆饼干，不包括甜的薄脆饼干,9,300 mg/kg,注释229,注释33
10.4,蛋基甜点（如蛋奶甜羹）,1,400 mg/kg,注释33
14.2.5,蜂蜜酒,440 mg/kg,注释88,注释33
04.2.1.2,表面处理的新鲜蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果和籽类,1,760 mg/kg,注释33,注释16
05.4,装饰糖果（如：用于精制焙烤制品）、顶饰（非水果）和甜汁,1,500 mg/kg,注释33
12.2.2,调味料和调味品,2,200 mg/kg,注释33,注释226
06.5,谷物和淀粉类甜点（如米布丁、木薯布丁）,7,000 mg/kg,注释33
12.9,豆基调味品和调料,1,200 mg/kg,注释33
06.8.1,豆基饮料,1,300 mg/kg,注释33
06.8.3,豆腐,100 mg/kg,注释33
14.2.6,酒精含量高于15%的蒸馏酒饮料,440 mg/kg,注释88,注释33
04.2.2.3,醋、油、盐水或酱油渍的蔬菜（包括蘑菇和食用真菌，块根类，豆类，芦荟）和海藻,2,200 mg/kg,注释33
04.1.2.3,醋、油或盐水渍水果,2,200 mg/kg,注释33
