编号,食品分类,最大使用量,备注
09.2.3,冷冻切碎的加稀奶油的鱼糜制品，包括软体动物，甲壳类和棘皮类动物,良好生产规范
09.2.2,冷冻拖面糊的鱼，鱼片，和鱼制品，包括软体动物，甲壳类和棘皮类动物,良好生产规范,注释XS166
09.2.1,冷冻的鱼，鱼片，和鱼制品，包括软体动物，甲壳类和棘皮类动物,良好生产规范,注释XS165,注释XS292,注释XS191,注释53,注释XS312,注释XS36,注释XS315,注释XS190,注释XS95,注释3,注释XS92
10.2.2,冷冻蛋制品,良好生产规范
01.2.2,凝乳（原味）,良好生产规范
01.2.1.1,发酵乳（原味），发酵后未经热处理,良好生产规范,注释235,注释234
01.2.1.2,发酵乳（原味），发酵后经热处理,良好生产规范,注释234
04.2.2.7,发酵蔬菜（包括蘑菇和食用真菌，块根类，豆类，芦荟）和海藻制品，不包括食品类别06.8.6、06.8.7、12.9.1、12.9.2.1和12.9.2.3中的发酵豆制品,良好生产规范
14.1.5,咖啡，咖啡替代品，茶，香草饮料和其他热的谷物饮料，不包括可可,良好生产规范,注释160,注释90
06.4.2,干面制品、面条及其类似产品,良好生产规范,注释256
09.2.4.3,油炸的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,良好生产规范,注释41
10.2.1,液体蛋制品,良好生产规范
01.4.2,灭菌和超高温灭菌（UHT）的稀奶油，搅打和搅打的稀奶油，和低脂稀奶油（原味）,良好生产规范,注释236
09.2.4.1,烹调的鱼和鱼制品,良好生产规范,注释241
