
"Number","Food Category","Max Level","Units","Notes"
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","1,000","mg/kg","42  20  XS236  XS222  XS189"
"09.3","Semi-preserved fish and fish products, including mollusks, crustaceans, and echinoderms","1,000","mg/kg","42  XS291"
"10.2.1","Liquid egg products","5,000","mg/kg","42"
"10.2.2","Frozen egg products","1,000","mg/kg","42"
"10.2.3","Dried and/or heat coagulated egg products","1,000","mg/kg","42"
"10.4","Egg-based desserts (e.g. custard)","1,000","mg/kg","42"
"11.4","Other sugars and syrups (e.g. xylose, maple syrup, sugar toppings)","1,000","mg/kg","42"
"11.6","Table-top sweeteners, including those containing high-intensity sweeteners","1,000","mg/kg","42  192"
"12.2","Herbs, spices, seasonings and condiments (e.g. seasoning for instant noodles)","1,000","mg/kg","42  XS326  XS327  XS328"
"12.4","Mustards","1,000","mg/kg","42"
"12.5","Soups and broths","1,000","mg/kg","42  339  338"
"12.7","Salads (e.g. macaroni salad, potato salad) and sandwich spreads excluding cocoa- and nut-based spreads of food categories 04.2.2.5 and 05.1.3","1,500","mg/kg","42"
"13.3","Dietetic foods intended for special medical purposes (excluding products of food category 13.1)","1,500","mg/kg","42"
"13.4","Dietetic formulae for slimming purposes and weight reduction","1,500","mg/kg","42"
"13.5","Dietetic foods (e.g. supplementary foods for dietary use) excluding products of food categories 13.1 - 13.4 and 13.6","1,500","mg/kg","42"
"13.6","Food supplements","2,000","mg/kg","42"
"14.1.2.1","Fruit juice","1,000","mg/kg","42  91  122"
"14.1.2.3","Concentrates for fruit juice","1,000","mg/kg","42  127  91  122"
"14.1.3.1","Fruit nectar","1,000","mg/kg","42  91  122"
"14.1.3.3","Concentrates for fruit nectar","1,000","mg/kg","42  127  91  122"
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","500","mg/kg","42  160"
"14.2.2","Cider and perry","500","mg/kg","42"
"14.2.3","Grape wines","200","mg/kg","42"
"14.2.4","Wines (other than grape)","500","mg/kg","42"
"14.2.5","Mead","200","mg/kg","42"
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","500","mg/kg","42  224"
"15.1","Snacks - potato, cereal, flour or starch based (from roots and tubers, pulses and legumes)","1,000","mg/kg","42"
"15.2","Processed nuts, including coated nuts and nut mixtures (with e.g. dried fruit)","1,000","mg/kg","42"
"12.9.1","Fermented soybean paste (e.g., miso)","1,000","mg/kg","42"
"12.9.2.1","Fermented soybean sauce","1,000","mg/kg","42"
"12.9.2.3","Other soybean sauces","1,000","mg/kg","42"
"12.6","Sauces and like products","1,000","mg/kg","42  127"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","500","mg/kg","42  127"
"08.2.1.1","Cured (including salted) non-heat treated processed meat, poultry, and game products in whole pieces or cuts","200","mg/kg","42  3"
"08.2.1.2","Cured (including salted) and dried non-heat treated processed meat, poultry, and game products in whole pieces or cuts","2,000","mg/kg","42  3"
"08.2.1.3","Fermented non-heat treated processed meat, poultry, and game products in whole pieces or cuts","200","mg/kg","42  3"
"08.2.2","Heat-treated processed meat, poultry, and game products in whole pieces or cuts","200","mg/kg","42  XS96  XS97  3"
"08.2.3","Frozen processed meat, poultry, and game products in whole pieces or cuts","200","mg/kg","42  3"


(c) FAO and WHO 2009

