
"Number","Food Category","Max Level","Units","Notes"
"10.2.1","Liquid egg products","2,500","mg/kg","47"
"10.2.3","Dried and/or heat coagulated egg products","2,500","mg/kg","47"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","200","mg/kg",""


(c) FAO and WHO 2009

