
"Number","Food Category","Max Level","Units","Notes"
"04.1.1.2","Surface-treated fresh fruit","110","mg/kg",""
"04.2.1.2","Surface-treated fresh vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","110","mg/kg",""
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","150","mg/kg",""


(c) FAO and WHO 2009

