
"Number","Food Category","Max Level","Units","Notes"
"02.1.2","Vegetable oils and fats","","GMP","XS19  XS210  XS33"
"02.1.3","Lard, tallow, fish oil, and other animal fats","","GMP","XS19  XS211"
"05.3","Chewing gum","15,000","mg/kg",""
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","500","mg/kg",""
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","100","mg/kg","15"


(c) FAO and WHO 2009

