
"Number","Food Category","Max Level","Units","Notes"
"12.6.1","Emulsified sauces and dips (e.g. mayonnaise, salad dressing, onion dip)","2,000","mg/kg",""
"12.6.2","Non-emulsified sauces (e.g. ketchup, cheese sauce, cream sauce, brown gravy)","2,000","mg/kg",""
"12.6.3","Mixes for sauces and gravies","2,000","mg/kg",""
"12.7","Salads (e.g. macaroni salad, potato salad) and sandwich spreads excluding cocoa- and nut-based spreads of food categories 04.2.2.5 and 05.1.3","1,000","mg/kg",""
"13.3","Dietetic foods intended for special medical purposes (excluding products of food category 13.1)","600","mg/kg",""
"13.4","Dietetic formulae for slimming purposes and weight reduction","600","mg/kg",""
"13.5","Dietetic foods (e.g. supplementary foods for dietary use) excluding products of food categories 13.1 - 13.4 and 13.6","600","mg/kg",""
"13.6","Food supplements","600","mg/kg",""
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","2,000","mg/kg",""
"14.2.1","Beer and malt beverages","600","mg/kg",""
"14.2.2","Cider and perry","600","mg/kg",""
"14.2.4","Wines (other than grape)","600","mg/kg",""
"14.2.6","Distilled spirituous beverages containing more than 15% alcohol","600","mg/kg",""
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","600","mg/kg",""
"15.1","Snacks - potato, cereal, flour or starch based (from roots and tubers, pulses and legumes)","100","mg/kg",""
"15.2","Processed nuts, including coated nuts and nut mixtures (with e.g. dried fruit)","20,000","mg/kg","3"
"01.4.4","Cream analogues","20","mg/kg",""
"05.1.5","Imitation chocolate, chocolate substitute products","100","mg/kg",""
"15.3","Snacks - fish based","100","mg/kg",""
"09.2.2","Frozen battered fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","100","mg/kg","304"


(c) FAO and WHO 2009

